run,model_seed,background_seed,explanation_seed,explainer_seed,model,model_label,feature,feature_label,mean_absolute_effect,rank
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Height+100%mean,Height,0.09194663066056696,23.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,HCO3+100%mean,Bicarbonate,0.08830695397943791,24.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Hb+100%mean,Hemoglobin,0.08125637212360443,25.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Weight+100%mean,Weight,0.07484367128000083,26.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Bilirubin+100%mean,Bilirubin,0.06896565813308383,27.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,RR+100%mean,Respiratory Rate,0.05718372592887565,28.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Bmi+100%mean,BMI,0.053240044159510606,29.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Sex,Sex,0.03440981267545469,30.0
3,1339,2339,5337,3339,xgboost,XGBoost,Lactate+100%mean,Lactate,0.5371170043945312,1.0
3,1339,2339,5337,3339,xgboost,XGBoost,FiO2+100%mean,Fraction of Inspired Oxygen,0.49738284945487976,2.0
3,1339,2339,5337,3339,xgboost,XGBoost,GCST+100%mean,Glasgow Coma Scale,0.30114054679870605,3.0
3,1339,2339,5337,3339,xgboost,XGBoost,Natrium+100%mean,Sodium,0.2118436098098755,4.0
3,1339,2339,5337,3339,xgboost,XGBoost,Urea+100%mean,Urea,0.18347443640232086,5.0
3,1339,2339,5337,3339,xgboost,XGBoost,Temp+100%mean,Temperature,0.17161254584789276,6.0
3,1339,2339,5337,3339,xgboost,XGBoost,Age,Age,0.16399674117565155,7.0
3,1339,2339,5337,3339,xgboost,XGBoost,Leukocyten+100%mean,Leukocytes,0.14267458021640778,8.0
3,1339,2339,5337,3339,xgboost,XGBoost,HR+100%mean,Heart Rate,0.13049034774303436,9.0
3,1339,2339,5337,3339,xgboost,XGBoost,Quick+100%mean,Prothrombin Time,0.12057631462812424,10.0
3,1339,2339,5337,3339,xgboost,XGBoost,Thrombocyten+100%mean,Thrombocyten,0.11616001278162003,11.0
